Time_s,Voltage_V,Current_A,Power_W,SOC_Percent,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
4301.911,3.967,3.298,13.001,47.61,29.95,2289.19,21.31
4308.845,3.967,3.298,13.046,47.74,29.95,2289.20,21.29
4315.810,3.969,3.298,13.046,47.87,29.95,2289.19,21.28
4322.754,3.971,3.298,13.046,48.00,29.95,2289.17,21.28
4329.722,3.971,3.298,13.046,48.13,29.90,2289.19,21.26
4336.661,3.973,3.298,13.046,48.26,29.90,2289.18,21.29
4343.658,3.973,3.298,13.046,48.39,29.90,2289.19,21.32
4350.594,3.976,3.298,13.046,48.52,29.85,2289.18,21.33
4357.541,3.978,3.298,13.046,48.65,29.85,2289.19,21.32
4364.490,3.978,3.298,13.046,48.78,29.85,2289.19,21.31
4371.441,3.980,3.298,13.046,48.91,29.90,2289.18,21.33
4378.390,3.980,3.298,13.046,49.04,29.90,2289.19,21.33
4385.348,3.983,3.298,13.092,49.17,29.90,2289.18,21.30
4392.315,3.985,3.298,13.092,49.30,29.90,2289.18,21.29
4399.276,3.985,3.298,13.092,49.43,29.90,2289.18,21.30
4406.208,3.987,3.298,13.092,49.56,30.00,2289.19,21.31
4415.184,3.989,3.298,13.092,49.73,30.00,2289.18,21.29
4423.109,3.989,3.298,13.092,49.88,29.95,2289.18,21.30
4432.051,3.992,3.298,13.092,50.05,29.95,2289.19,21.28
4873.422,3.955,3.298,13.001,50.05,30.05,2289.14,21.21
4880.601,3.967,3.298,13.001,50.18,30.05,2289.14,21.20
4887.548,3.973,3.298,13.046,50.31,30.05,2289.12,21.20
4894.515,3.978,3.298,13.046,50.44,30.05,2289.12,21.21
4901.464,3.983,3.298,13.092,50.57,30.05,2289.12,21.24
4908.443,3.985,3.298,13.092,50.70,30.05,2289.14,21.25
4915.358,3.989,3.298,13.092,50.83,30.00,2289.14,21.26
4922.325,3.992,3.298,13.092,50.96,29.95,2289.12,21.23
4929.283,3.994,3.298,13.092,51.09,29.95,2289.12,21.28
4936.242,3.996,3.298,13.138,51.22,29.95,2289.13,21.29
4943.180,3.999,3.298,13.138,51.35,29.95,2289.12,21.25
4950.159,3.999,3.298,13.138,51.48,29.95,2289.12,21.24
4957.147,4.001,3.298,13.138,51.62,29.95,2289.12,21.23
4964.053,4.003,3.298,13.138,51.75,29.95,2289.12,21.20
4971.022,4.005,3.298,13.138,51.88,29.95,2289.13,21.20
4977.970,4.008,3.298,13.138,52.01,29.95,2289.12,21.19
4984.911,4.008,3.298,13.138,52.14,29.95,2289.14,21.21
4991.852,4.010,3.298,13.184,52.27,29.95,2289.13,21.22
4998.833,4.012,3.298,13.184,52.40,30.00,2289.12,21.23
5005.799,4.012,3.298,13.184,52.53,30.05,2289.12,21.26
5012.743,4.015,3.298,13.184,52.66,30.05,2289.13,21.24
5019.675,4.017,3.298,13.184,52.79,30.05,2289.12,21.22
5026.643,4.019,3.298,13.184,52.92,30.05,2289.12,21.23
5033.593,4.019,3.298,13.184,53.05,30.00,2289.10,21.23
5040.554,4.021,3.298,13.184,53.18,30.00,2289.12,21.23
5047.488,4.024,3.298,13.229,53.31,30.00,2289.11,21.25
5054.495,4.024,3.298,13.229,53.44,30.00,2289.10,21.24
5061.412,4.026,3.298,13.229,53.57,30.00,2289.11,21.25
5068.359,4.028,3.298,13.229,53.70,30.00,2289.11,21.28
